Hospital,Contact,Phone No,Normal Bed,Oxygen Bed,Found Useful(1hr),Notes,Comments,Up Votes,Address,Total Beds,Updated On
Bhagat Chandra Hospital- Mahavir Enclave- Dwarka,N/A,9354697563,0,N/A,0,N/A, | N | NimitTuesday | Not answering the call | N | No bed available at 5pm 26 April Monday | No bed available 26th April at 2pm, -,,,29-04 12:53:39
Sanjay Gandhi Memorial Hospital,N/A,1127913220,0,N/A,0,N/A, | N | name of patient : Abha Bansal age 67 address : 126 - mithila apartments . plot no 76. I.P. extension delhi 110092 co mobidiries: Diabetic type of bed required: ICU name of attendant and contact detail: Vivek bansal 9868170081Yesterday | urgently need bed.. doctor has recommended it.. patients SPo2 is low.. she is 68 years old Diabetic | S | SarthakYesterday | Name :Anu alang | Age 48 | Diabetes hypertension | Hrct 16/25 | Spo2 below 90 | Need a bed with oxygen support. Patient in Rohini., -,,,29-04 12:53:42
Ram Manohar Lohia Hospital,N/A,1123365525,0,N/A,0,N/A, | P | Priyanka 3h | Need a bed with oxygen support urgently. 70+ patient with very low saturation. 8528313476 | S | Sudha4h | I want to oxygen bed argentely in delhi...My mom is in critical condition.. please help. | 7428136442 | K | KaranToday | Looking for a bed with ventilator in Delhi for covid patient. Age 40. Oxygen level 84. Lungs damaged. | Please help- call Mayank 9871610708. | D | Divya MittalYesterday | Hi everyone- | Looking for ICU bed in delhi ncr for friend's father. He is critical. Please help. If any information- please let us know. | 8968682047 | Ajay Singh | R | RaviYesterday | Want to know the covid bed availability | Ravi 9891005285 | R | RaeesYesterday | need a bed with high flow oxygen and bicap machine support- in delhi/Noida. For any info please call - 8506066610 | Supriya JoshiYesterday | Need urgent bed for senior citizen - her oxygen level is dipping | Swati SonejaYesterday | Oxygen Bed required for a senior citizen patient with oxygen saturation 73 and further dipping in DELHI OR GURGAON | M | Mayank MattaYesterday | Need bed urgently for covid patient - Name: Vijay Matta | Age: 68- Phone no: +91 98993 20553 | K | KetanYesterday | Hi All | Four members of my family got covid and my mother and sister is law is critical for my mother oxygen level is below 60. Please help us to get bed with oxygen for my mother and sister in law. | P | preetYesterday | Looking for a bed an urgent ICU near Delhi or NCR- for a friend’s mother. Any help then lemme know ASAP. | Regards | 9310793375 | Dated: 8am- 28th April. | A | Adarsh GuptaYesterday | Any bed available for a 69 yr old lady. It's Hard for her to maintain oxygen level . She has lung issues and she is not fully conscious. She has no fever .Adarsh Gupta- Age 69- Female. Address: 12/655 Vasundhara Ghaziabad- 201012. Contact person Deepak 9899441091 | S | Suman NayakYesterday | Dear Sir | We need a room/bed for 22 yr male - having trouble with Covid lungs r not clear bin CT scan | Pls contact 9711144961 | 9873901671 | S | Suman NayakYesterday | Do we have A bed with Oxygen | N | neha kumar Tuesday | ANY VENTILATOR BED AVAILABLE ? | NEED A ICU BED | IMMEDIATELY | OXYGEN LEVEL 58 | CRITICAL POSITION | CONTACT NO. 7835801416 | WE BELONG TO POOR FAMILY AND NO ONE HELPING US | ? | ????Tuesday | ????? ???? ??? ???? ?????? ???? ??? ????????? ?? ????? ???? ????? ??? ???? ?????? ??? ??? ??? ???? ??? ????? ??? | A | Any ventilator bed available?Tuesday | Need a ICU bed | Oxygen level 77 | Contact no.8750364587 | L | Lokesh wadhwaTuesday | Need one bed for 74 year lady having chest infection pneumonia | A | AmarTuesday | Urgently Needed Of Hospital Bed | Patient name : Pk Agarwal | Age 64 | Address : F-11/12 first floor model town 2nd delhi 110009 | Any Leads Pls share on urgent basis | A | Arvind NagriTuesday | Need bed urgently for Nakul Kaul- aged 27 years. Pls arrange bed. Oxygen level coming down at 82 | Pls call at 9958498389.???? | L | LalimaTuesday | Urgent Bed Required for 2 people - Protima Ghosh and Bhaskar Ghosh . Oxygen Beds required . Please contact - 8800749955 & 9810329004. #VeryUrgent #SOS | H | Himanshu Tuesday | Need urgent availability of bed for patient Renu chauhan. Contact - himanshu - 9881920342. please help required. | C | COVID PNeumonia CT severity 22/25 Hi my brother name is sheel kumar he is very serious and youngTuesday | COVID Pneumonia CT severity 22/25 | Hi my brother name is sheel kumar he is very serious and young please help we don't have anyone to help him... We don't have oxygen cylinder too He needs bed | Urgently NEED BED | M | Madhu VachhaniTuesday | Need icu for 74 yrs oxygen level before 76 this is critical | I | I need the oxygen bed for the covid patient oxygen level in 45.Tuesday | I need the bed for covid patient oxygen level is 45 | B | Bed needed Tuesday | Need bed for covid patient urgently | A | Anjali Kothari Tuesday | RML hospital no beds as of 11 am today  | D | DipeshTuesday | Hi is bed empty here | B | BhawnaTuesday | Need an ICU bed for highly diabetic for 55 years old with oxygen level of 82.  | Pls contact 7077095059- 9178960793 | A | Akshita Tuesday | I need an icu bed urgently. | AnchalTuesday | Beds not available- verified- 27thbApril-11:30 Am | Pallavi Misra Tuesday | Need a  bed with oxygen for Covid elderly patient please help, -,,,29-04 12:53:46
Fortis SS Hospital- Vasant Kunj,N/A,1142776222,0,N/A,0,N/A,, -,,,29-04 12:53:50
Konark Hospital- Nangloi,N/A,9625695449,7,N/A,0,N/A, | V | Vasudha14m | Switched off | K | Khushbou GargTuesday | Number switched off | A | AnuMonday | Normal beds available. Icu ans oxygen beds not available.  | S | Shivansh KhannaSunday | No beds available 10:27 | N | NidhiSunday | Number busy checked at 10:17pm, -,,,29-04 12:53:53
Divya Prastha Hospital- RZ-37- Opposite Bagh Wala School- Main Road- Palam Colony- New Delhi 45,N/A,8751002222,0,N/A,0,N/A,, -,,,29-04 12:53:56
Metro Hospital- Preet Vihar,N/A,1149286666,45,N/A,0,N/A, | S | Sanjay4h | No reply | J | JohnYesterday | Need bed urgently Manoj 32yrs. Please call 9970646671 | A | AishwaryaYesterday | Need ICU HOSPITAL BED for a patient urgently | R | RoshuYesterday | No bed available  | S | Sahej GhaiYesterday | Not available. Wrong Information published. The operator refused availability of any beds. | S | Suman NayakYesterday | Sir / Madam- | We need a bed for a 22 yr male patient -is having trouble w covid lungs r not clear in CT scan. Pl check if a room can be arranged . Pls contact 9711144961 | 9873901671 | P | PoojaTuesday | Need bed for 73 yr old ...critical condition | K | KapilTuesday | Request for oxygen bed for 77 year Covid patient | A | AmitTuesday | No oxygen thus no admissions. | R | Rishab PathakTuesday | Just checked. at 27 Apr 9:16 AM. Beds are available- but no oxygen. Thus they are unable to take admission. | K | KavitaMonday | Its difficult to find a bed over call. If this is nearby please pay a visit. Someone could get a bed. | D | DeepakMonday | Contacted but no oxygen bed available dt. 26th Apr 5:03 pm evening | B | Bhorika Monday | No one pics | S | ShaileshMonday | Not responding at 14:16 pm | D | D BhattacharyaMonday | No one picks up | S | Sunil UniyalMonday | No response at 0040AM 26 Apr 21. | D | DarshanSunday | No oxygen bed 2035 25th April, -,,,29-04 12:53:59
B.M. Gupta Hospital- Uttam Nagar,N/A,1147157777,0,N/A,0,N/A,, -,,,29-04 12:54:03
Deep Chand Bandhu,N/A,1127305952,0,N/A,0,N/A, | A | Anusha Vaidyanathan Monday | No one is picking up at 23:47 April 26th. | S | ShrutanjayaSunday | At 8:10pm on 25 Apr- I was told that all beds are full and I should call tomorrow | R | RajatSunday | All beds busy- last checked 1935 on 25th April, -,,,29-04 12:54:07
Saroj Super Speciality Hospital,N/A,1127903333,0,N/A,0,N/A, | A | Amit kr Sharma age-40.Argently need oxizen bed- Contact no 9891193231Tuesday | Urgently need oxygen bed patient name Amit Kumar Sharma age 40 | C | COVID PNeumonia CT severity 22/25 Hi my brother name is sheel kumar he is very serious and youngTuesday | COVID Pneumonia serious condition CT severity 22/25 Hi my brother name is sheel kumar he is very serious and young | He NEED BED with Oxygen | Please 8860898901 | V | Vaibhav KathuriaTuesday | Oxygen bed not available. 1215 pm Apr 27. | SaumyaMonday | 26 April- 9:30pm icu bed not available | S | Shivanshu BhasinMonday | No admission as no oxygen is there | S | Shivanshu BhasinMonday | No need as no oxygen is there. Confirmed at 12 noon- 26 april | S | Sunny VermaMonday | Called them at 12:26 now- they said they don't have oxygen since last 3 days. | R | RashiMonday | No beds available. 12:12 26/4 | B | BhawnaMonday | Beds are available but waiting for oxygen supply... | 26/04 @ 10:43 am | S | Sunil UniyalMonday | Tried just now. All beds full..., -,,,29-04 12:54:10
Medstar Hospital- Paschim Vihar,N/A,1149242424,0,N/A,0,N/A,, -,,,29-04 12:54:14
Rajeev Gandhi Super Speciality Hospital,N/A,1122890773,0,N/A,0,N/A, | N | neha kumar Tuesday | ANY VENTILATOR BED AVAILABLE ? | NEED A ICU BED | IMMEDIATELY | OXYGEN LEVEL 58 | CRITICAL POSITION | CONTACT NO. 7835801416 | WE BELONG TO POOR FAMILY AND NO ONE HELPING US | P | Pallavi GajjarTuesday | Need a bed for a 39 year old male. Please let me know if available.  | A | AbhijitTuesday | Any ICU bed available- urgently required. | W | Worst hospitalMonday | Worst hospital., -,,,29-04 12:54:17
Bansal Hospital & Research Centre- New Friends Colony,N/A,9650846789,0,N/A,0,N/A,, -,,,29-04 12:54:21
CBR Hospital,N/A,8686860169,25,N/A,0,N/A, | A | Ananthakrishnan3m | Is there any ICU beds with Oxygen available for today? Very Urgent, -,,,29-04 12:54:24
Maha Durga Charitable Trust Hospital,N/A,9811755635,0,N/A,0,N/A, | N | neha kumar Tuesday | ANY VENTILATOR BED AVAILABLE ? | NEED A ICU BED | IMMEDIATELY | OXYGEN LEVEL 58 | CRITICAL POSITION | CONTACT NO. 7835801416 | WE BELONG TO POOR FAMILY AND NO ONE HELPING US, -,,,29-04 12:54:27
Ayushman Hospital- Dwarka,N/A,1147031100,0,N/A,0,N/A,, -,,,29-04 12:54:30
CD Global Hospital- Najafgarh Road,N/A,9310171264,0,N/A,0,N/A, | V | VeethikaTuesday | Icu and oxygen beds are full. Normal beds are available. | A | AnuMonday | Beds not available. , -,,,29-04 12:54:34
Max SS Hospital- Shalimar Bagh,N/A,7042500536,0,N/A,0,N/A,, -,,,29-04 12:54:37
Venkateshwar Hospital- Dwarka,N/A,7290072997,21,N/A,0,N/A, | G | GauravYesterday | Need urgent bed for my mother aged 68. | Phone 9899022774. Please help. | R | Rashmi TiwariYesterday | Need an ICU bed Age 89 Years- location - Dwarka- Delhi | B | BrajesoniYesterday | No bed @ 12.24pm | Suggested to visit some Community hospital behind Dada Dev Hosp Dabri | S | Saswata halderYesterday | Need immediate hospitalisation with oxygen cylinder. | Patient details : | Patient Name: Sarbari Guha | Patient Age:61 | Female | Address: Shouvik Guha | Flat# 5- 2nd floor- Property No 591 | Saidulajab | NEW DELHI- DELHI 110030 | India | Phone number: ?9654910170? | Attendant Name: Shouvik Guha | Attendant phone no: 9654910170- 8100657465 | Issue: Civic+ | Oxy -82 | Comorbities:Bp | Urgent Hospitalization with oxygen support. | S | Saswata halderYesterday | Need immediate hospitalisation with oxygen cylinder. | Patient details : | Patient Name: Sarbari Guha | Patient Age:61 | Female | Address: Shouvik Guha | Flat# 5- 2nd floor- Property No 591 | Saidulajab | NEW DELHI- DELHI 110030 | India | Phone number: ?9654910170? | Attendant Name: Shouvik Guha | Attendant phone no: 9654910170- 8100657465 | Issue: Civic+ | Oxy -82 | Comorbities:Bp | Urgent Hospitalization with oxygen support. | M | Mayank MattaYesterday | Need bed urgently for covid patient - Name: Vijay Matta | Age: 68- Phone no: +91 98993 20553 | M | Mayank MattaYesterday | Need bed urgently for covid patient - Name: Vijay Matta | Age: 68- Phone no: +91 98993 20553 | E | Ekta BhasinYesterday | Need bed with oxygen support .. pls help  | A | AkshayYesterday | No bed available .. 7:38@apr28 | S | Suman NayakYesterday | Sir / Madam- | We need a bed for a 22 yr male patient -is having trouble w covid lungs r not clear in CT scan. Pl check if a room can be arranged . Pls contact 9711144961 | 9873901671 | K | Karan Chandhok Tuesday | Need bed with oxygen support.. patient's name is Om Prakash Chandhok. His oxygen level is 82-83. Please confirm asap @ 9718804345 | S | Sumit verma Tuesday | Sumit verma | Need bed for covid patient and we have oxygen concentrator please give admission | Mo no 9871835000 | S | Swaran SinhaTuesday | I just need bed to treat my lung infection..dont need oxygen...chest ctscan score 14..am covid positive | Y | YaminiTuesday | Hi team- | I’m trying to reach your hospital. One of my family member is serious we require a icu bed. We can be reach at 9899028537 | R | Rawat_STuesday | Oxygen beds not available. Called @2:55 pm- April 27th- 2021. But pls don't stop trying. Pls be hopeful. Maybe beds are available after sometime/ a few days. ?? | H | HimanshuTuesday | As per admin there is waiting list of 300 patients | V | Vaibhav KathuriaTuesday | One of the staff members here informed occupancy is full. 1 pm. Apr 27. | J | Jhini BhattacharjeeTuesday | Need an oxygen bed for my mother. Is anything available? | C | ChiragTuesday | No one picking phone .. 7:33am 27 Apr | A | AnujTuesday | Switched off at 6.45 am | R | Rajiv AroraMonday | Not pick a ph..23:54 | N | NimitMonday | Not picking up the phone  | V | Vipul Bakshi. Monday | Phone switched off @ 9:04 PM; 26/04/21 | H | Harshit JainMonday | Not picking up calls. 8:45 | 26/04 | P | Prateek ChopraMonday | No one picking up the number at 11 am on 26th April  | V | Vaibhav AnandMonday | No beds available at 10 pm- 25th April | V | Vikas JainSunday | Switched off at 10:05 | U | Udit GuptaSunday | Phone no switched off (25th April- Sun- 8:50 pm) | M | Manish GuptaSunday | Number switched off 8:15 Pm 25th April  | G | Gaurav VijSunday | Phone switched off at 20:14 pm 25th April, -,,,29-04 12:54:41
Medeor Hospital- Qutab Instl. Area,N/A,1141222222,18,N/A,0,N/A, | S | ShreyasiYesterday | No response | G | GarieTuesday | No beds available  | Y | yoginderTuesday | 91 85275 44574 | Name - Dinesh Saini | Age - 53 | O2- 70 | F. No 803 Ganga Tower 6- D-6- Vasant Kunj- New Delhi - 110070 | C | COVID PNeumonia CT severity 22/25 Hi my brother name is sheel kumar he is very serious and youngTuesday | COVID Pneumonia serious condition CT severity 22/25 Hi my brother name is sheel kumar he is very serious and young | He NEED BED with Oxygen | Please 8860898901 | K | KapilTuesday | Request for a bed for Covid + patient | V | VatsalTuesday | Oxygen bed not available @ 11.33am 27 apr | T | TushalaTuesday | No beds available. Called at 11:30 am ..27 april | A | AnuMonday | No response from the hospital on 26th April 7pm | R | RashiMonday | No beds available. 12:14 pm 26/4 | A | AmalenduMonday | No response from the hospital., -,,,29-04 12:54:44
Akash Healthcare- Dwarka,N/A,8800015991,0,N/A,0,N/A, | M | ManojMonday | No bed available at 04:04 Am, -,,,29-04 12:54:47
Bimla Devi Hospital,N/A,011-41887777,0,N/A,0,N/A, | S | ShreyasiYesterday | No beds available. | @14:33hrs 28th April | B | Binod kr mishraTuesday | Plz reply me soon sir if bed are available ..... I am waiting 8299164147 | A | AnkitTuesday | Bimla Devi Hospital- Delhi - 011-41887777 | Non-oxygen bed is available | Personally verified on 27th APril 6:15pm | V | Vaibhav KathuriaTuesday | Oxygen bed not available. Spoke with a staff member. 613 pm. Apr 27. | S | ShaileshMonday | Not responding calls.., -,,,29-04 12:54:50
Jeewan Nursing Home- Pusa Road,N/A,1142430246,0,N/A,0,N/A,, -,,,29-04 12:54:54
Batra Hospital,N/A,1129958747,0,N/A,0,N/A,, -,,,29-04 12:54:57
Dharamshila Narayana Hosp.- Vasundhra Enclave,N/A,8067506880,22,N/A,0,N/A, | Sachin Mishra1h | Number not reachable | paridhiYesterday | Dialled number does not exist | C | COVID PNeumonia CT severity 22/25 Hi my brother name is sheel kumar he is very serious and youngTuesday | COVID Pneumonia serious condition CT severity 22/25 Hi my brother name is sheel kumar he is very serious and young | He NEED BED with Oxygen | Please 8860898901 | K | KamaldeepSunday | Wrong number please update the database | R | Reena MattooSunday | This mobile number doesn’t exist | R | RajatSunday | Wrong no, -,,,29-04 12:55:01
St. Stephens Hospital- Tis Hazari,N/A,1123966021,56,N/A,0,N/A, | M | Mayank MattaYesterday | Need bed urgently for covid patient - Name: Vijay Matta | Age: 68- Phone no: +91 98993 20553 | A | Akhil Tuesday | Please share direct contact for Ventilator for pregnant lady URGENT at 9911279927 | A | Akhil Tuesday | Please share direct contact- need icu bed for pregnant lady URGENT | C | COVID PNeumonia CT severity 22/25 Hi my brother name is sheel kumar he is very serious and youngTuesday | COVID Pneumonia serious condition CT severity 22/25 Hi my brother name is sheel kumar he is very serious and young | He NEED BED with Oxygen | Please 8860898901 | B | Bharti AliTuesday | No oxygen bed available | S | SatishTuesday | As I checked on app that 40 beds are available. | Just I called for covid patient bed. | He replied there 40 beds are available only for pregnant ladies- but for covid persons there is no availability ?? | B | Barbie VermaMonday | All beds are full. 26 th April 11.42 | A | AditiMonday | No beds 11:05 pm 26 th April | A | AnandiniMonday | Is there any availability of ICU for covid patient. | R | Rushil SarnaMonday | No beds at 9 PM 26/4 | H | HardikMonday | No availability at 8:00 pm | B | Bhorika Monday | No bed available 2:22pm | G | Gurdit SinghMonday | No beds- bluntly disconnected | R | RaviMonday | No bed available..8.30am 26th April | No bed available at 8.06AM- 26th AprilMonday | No bed available bat 8.06am- 26th april | N | NiharikaSunday | No bed available- 25/04 8:14, -,,,29-04 12:55:04
Irene Hospital- Kalkaji,N/A,9540948480,0,N/A,0,N/A,, -,,,29-04 12:55:08
Safdarjung Hospital,N/A,1126730000,0,N/A,0,N/A, | T | Taruna Yesterday | I am looking for an ICU bed in Delhi  | S | SimiYesterday | Any icu bed in delhi | N | neha kumar Tuesday | ANY VENTILATOR BED AVAILABLE ? | NEED A ICU BED | IMMEDIATELY | OXYGEN LEVEL 58 | CRITICAL POSITION | CONTACT NO. 7835801416 | WE BELONG TO POOR FAMILY AND NO ONE HELPING US | K | KaanyaTuesday | Need icu bed with ventilator  | H | Himanshu Tuesday | Need urgent availability of bed for patient Renu chauhan. Contact - himanshu - 9881920342. please help required., -,,,29-04 12:55:11
Bensups Hospital- Dwarka,N/A,9560816745,13,N/A,0,N/A, | V | Vasudha15m | Invalid | S | ShreyasiYesterday | No response | G | GurprwetYesterday | Is there anu ICU bed available | R | RituYesterday | No response from number at 9 am April 28.sent an sms | R | Rama TyagiTuesday | Number busy today | J | Jitender SinghMonday | Number switched off @26 April 3 30pm | S | Surbhi Bajaj Monday | Checked at 26th April- 1pm. Number switched off  | U | UmeshMonday | No pickup- 9.50am 26th apr | N | NidhiSunday | Number switched off check at 10:18pm, -,,,29-04 12:55:15
Alshifa Hospital,N/A,9599687441,0,N/A,0,N/A,, -,,,29-04 12:55:19
Sitaram Bhartia Institute of Science & Res.- Qutab Institutional Area,N/A,1142111111,0,N/A,0,N/A,, -,,,29-04 12:55:23
National Heart Institute- East of Kailash,N/A,1146600700,0,N/A,0,N/A,, -,,,29-04 12:55:27
Goyal Hospital & Urology Centre- Krishna Nagar,N/A,9015142888,0,N/A,0,N/A,, -,,,29-04 12:55:30
Revive Hospital-tilak nagar,N/A,9891534100,0,N/A,0,N/A, | K | Khushbou GargTuesday | Do u have bed available. Patient oxygen level is just 85, -,,,29-04 12:55:34
Delhi Heart & Lung Institute- Pachkuian Road,N/A,1142999999,0,N/A,0,N/A,, -,,,29-04 12:55:37
Navjeevan Hospital- Pitampura,N/A,8802693809,0,N/A,0,N/A,, -,,,29-04 12:55:41
GURU NANAK EYE CENTRE ( ANNEXED TO LOK NAYAK HOSPITAL),N/A,1123234622,145,N/A,0,N/A, | J | Jubeda14m | Need bed with oxygen. Patient oxygen level is 80. Contact number 8287075949 | K | Kirti Sagar15m | Need bed urgently.....patient has ct scan value 19 | S | Smriti4h | I need a bed with oxygen  | S | Siddharth 5h | Number is not reachable for most of the hospitals or either they choose not to pick it up. | M | Madhusudhan Rao Yesterday | M Madhusudhan Rao  | Mayur Vihar | P | prabha deviYesterday | Prabha Devi (Prabha Rustagi) | Female Age-58 | Required oxygen bed now level 68-70 | contact no. 9968287374 | S | SarthakYesterday | Name :Anu alang | Age 48 | Diabetes hypertension | Hrct 16/25 | Spo2 below 90 | Need a bed with oxygen. Patient is at Rohini. | Contact : 9899730856 Sarthak | S | Saswata halderYesterday | Need immediate hospitalisation with oxygen cylinder. | Patient details : | Patient Name: Sarbari Guha | Patient Age:61 | Female | Address: Shouvik Guha | Flat# 5- 2nd floor- Property No 591 | Saidulajab | NEW DELHI- DELHI 110030 | India | Phone number: ?9654910170? | Attendant Name: Shouvik Guha | Attendant phone no: 9654910170- 8100657465 | Issue: Civic+ | Oxy -82 | Comorbities:Bp | Urgent Hospitalization with oxygen support. | M | MeenuYesterday | I need a bed for my brother he is 39 years old .living in Wazirabad village .. kindly update. his oxygen level is getting down.lateat saturation is 75 ..plz help ..alteast arrange a single .so I can save brother's life..plz help | 7835994706- 8851337300.. | Plz help | M | Mayank MattaYesterday | Need bed urgently for covid patient - Name: Vijay Matta | Age: 68- Phone no: +91 98993 20553 | P | preetYesterday | Looking for a bed an urgent ICU near Delhi or NCR- for a friend’s mother. Any help then lemme know ASAP. | Regards | 9310793375 | Dated: 8am- 28th April. | A | Ananya Chaudhary Yesterday | Urgent need for a bed.Please please help us we really need a bed? | Covid positive Patient is critical  | Age-82 years old | Number-7982825970 | S | Suman NayakYesterday | Sir / Madam- | We need a bed for a 22 yr male patient -is having trouble w covid lungs r not clear in CT scan. Pl check if a room can be arranged . Pls contact 9711144961 | 9873901671 | ? | ????Tuesday | ????????? ?? ????? ???- ?????? ???? ?? ????? ??? ???? +918802128116 | H | Himanshu Tuesday | Need urgent availability of bed for patient Renu chauhan. Contact - himanshu - 9881920342. please help required. | A | Abhishek RTuesday | I need bed for my father. 68yrs- SPo2 in 70s (73-76). Please help. Contact 9158817249 | C | COVID PNeumonia CT severity 22/25 Hi my brother name is sheel kumar he is very serious and youngTuesday | COVID PNeumonia CT severity 22/25 Hi my brother name is sheel kumar he is very serious and young | He needs bed my number is 8860898901 | M | MayankTuesday | Number is not working | P | Priyanka raiTuesday | Contact no. Is not valid | P | Priyanka raiTuesday | Invalid contact no. | A | Anil jain oxygen meter 85 please arrange bedTuesday | I need a bad for oxygen angently | A | AtulTuesday | Number not in use | G | GyaneshwarMonday | No. Not in use. | J | Jitender SinghMonday | Number temporarily out of serivce at 1900. | A | AnuMonday | No. Temporarily out of service as on 26th April 18:48 hours.  | B | Balveer Monday | No body picking up | S | SurpreetSunday | Number not getting connected | S | Shallu Sunday | No is wrong | N | Nishi SalujaSunday | Nobody picking call at 10:30 pm (25/04) | M | mishaSunday | 5145 number out of service | another busy at 10:18 | S | ShrutanjayaSunday | Other phone numbers as per JustDial: 23234612- 23235145- 23234607 | V | VaneetaSunday | Number temporarily disconnected - 25/04- 7:52pm, -,,,29-04 12:55:47
Kalra Hospital- Kirti Nagar,N/A,1125100000,50,N/A,0,N/A, | P | Pushkar BindraYesterday | Hospital bed needed for kirti nagar resident itself. | Anosh Mehta Tuesday | No answer | S | saminder Monday | no can’t be a connected at this moment- that’s all it says.  | H | Harsh Siral Monday | No bed 26april 8am | U | UmeshMonday | Correct number is 01145005600. No bed available at 10am- 26 apr | S | Sunil UniyalMonday | Tried thrice. Incoming call facility to the number is deactivated. | R | Rasmeet SinghSunday | Not reachable at 21.30, -,,,29-04 12:55:51
Base Hospital Delhi Cantt,N/A,1125683581,1,N/A,0,N/A, | S | Samarjit1h | Need icu bed with oxygen in Delhi ncr | S | Shreeja 1h | Need an oxygen bed urgently in delhi around Uttam Nagar  | N | neha kumar Tuesday | ANY VENTILATOR BED AVAILABLE ? | NEED A ICU BED | IMMEDIATELY | OXYGEN LEVEL 58 | CRITICAL POSITION | CONTACT NO. 7835801416 | WE BELONG TO POOR FAMILY AND NO ONE HELPING US | D | DC ChetanTuesday | https://www.youtube.com/watch?v=_xk6bIkC65Q | R | RishikaTuesday | no bed available 11.40pm - 26th April 2021 | B | Bed with Oxygen cylinder Not available. Called a number of timesMonday | Nobody is picking up calls and if they did the reply is pretty much same that the bed with oxygen cylinder is not available. | W | Worst hospitalMonday | Worst hospital | S | Sandeep khannaMonday | Number not working | G | Gupil Monday | No beds available @ 1:02 AM | K | KamaldeepSunday | Number is busy- tried couple of times @11:30 pm 25 apr | A | AnimeshSunday | beds available only for army men  | S | Sanchit SrivastavaSunday | Number busy at 8:53 pm 25 April | V | VaneetaSunday | Couldn’t get through - 25th Apr- 7:43pm, -,,,29-04 12:55:55
Pushpawati Singhania Hospital- Saket,N/A,9717159780,23,N/A,0,N/A, | S | Siddharth 5h | Guys any serious patient go for a Home ICU setup rather than wasting time visiting hospitals and taking their tantrums. Portea is one such home ICU setup company | S | Siddharth 5h | This is the worst hospital in the entire Delhi area. They won't even help anyone even if it were their own families. Pathetic bunch of idiots of PSRI | M | Manmohan Mattu5h | My brother-in-Law needs oxygen with bed immediately. | C | COVID PNeumonia CT severity 22/25 Hi my brother name is sheel kumar he is very serious and youngTuesday | COVID Pneumonia serious condition CT severity 22/25 Hi my brother name is sheel kumar he is very serious and young | He NEED BED with Oxygen | Please 8860898901 | R | RahulTuesday | Hello- My brother is in urgent need of bed with oxygen. Please contact 7507782239 | A | AnshulTuesday | No beds available. They told 300+ on waiting list on 27th April- 21 at 13:48 | A | AnujTuesday | Picked up at 6.50 am but no beds . Beds showing on portal are for isolation beds only at country inn hotel.  | A | Angel AbrolTuesday | Need bed for my father as his oxy level below 85. Pls assist | P | PakhMonday | @renuka are u sure | Beacuse we have so many patients who need | R | Renuka Monday | No beds available. All full. Waiting list 300+ as on 26th April 2021- 5:33 PM | N | NamitaMonday | No answer  | GunjanMonday | No need available as on Monday 26th April @5:15 am | A | AbhinavSunday | No icu bed available @2333- 25th apr | S | Shweta JainSunday | Any bed available in south delhi or anywhere in delhi? | M | Mehar Grover Sunday | All beds full. 300+ waiting , -,,,29-04 12:55:58
Jeewan Moti Khera Hospital- Nangloi,N/A,1125945771,13,N/A,0,N/A, | V | Vasudha11m | Invalid Thursday 12:45 pm | N | Need ventilator urgently.. please helpYesterday | Urgently need ventilator.. please help | S | Saswata halderYesterday | Need immediate hospitalisation with oxygen cylinder. | Patient details : | Patient Name: Sarbari Guha | Patient Age:61 | Female | Address: Shouvik Guha | Flat# 5- 2nd floor- Property No 591 | Saidulajab | NEW DELHI- DELHI 110030 | India | Phone number: ?9654910170? | Attendant Name: Shouvik Guha | Attendant phone no: 9654910170- 8100657465 | Issue: Civic+ | Oxy -82 | Comorbities:Bp | Urgent Hospitalization with oxygen support. | G | GurprwetYesterday | Is there any icu bed available? | A | Amit SainiYesterday | Any oxygen bed available here? | S | SrinivasanTuesday | Kindly contact my no is 9840617198 | S | SrinivasanTuesday | Is bed available for serious covid positive 55 yrs old female. | R | Rita SinghTuesday | URGENTLY ! Need ventilator for 55 years old - oxygen level 35 please contact 9910072911 | P | Pankaj Kumar Vashistha Tuesday | No oxygen available | BhuvanTuesday | 27Apr/ 10:00hrs - ICU Bed unavailable | M | Mehul JainMonday | Line busy | S | ShaileshMonday | Member Busy- unable to connect..at14:07 pm | N | Nishi SalujaSunday | No bed available at 11:15pm(25/04) | N | NirupamaSunday | Number busy cant connect, -,,,29-04 12:56:02
